sentiment,id,title,score,external_url,author,submitted_time
2,bdibgm,How Atlanta plans to get to 100% green energy by 2035,311,https://www.pri.org/stories/2019-04-15/how-atlanta-plans-get-100-green-energy-2035,Wagamaga,1555347006
1,qd60mq,U.S. Warns Climate Poses ‘Emerging Threat’ to Financial System,1,https://www.nytimes.com/2021/10/21/us/politics/climate-change-us-financial-system.html,No_Delay5284,2021-10-22
1,hgamiv,Nike CEO John Donahoe warns employees that layoffs are coming very soon,3,https://www.cnbc.com/2020/06/26/nike-ceo-john-donahoe-tells-employees-that-layoffs-are-coming.html,hissingkittycom,1593188370
2,ph2ah6,China to create new stock exchange in Beijing for smaller companies: Xi,1,https://asia.nikkei.com/Business/Finance/China-to-create-new-stock-exchange-in-Beijing-for-smaller-companies-Xi,JustARandomPerson902,2021-09-03
1,ptva43,Evergrande debt troubles seem particular to China -U.S. Fed's Powell,1,https://www.reuters.com/business/evergrande-debt-troubles-seem-particular-china-us-feds-powell-2021-09-22/,NineteenEighty9,2021-09-23
1,cvdkqo,Top U.S. publishers sue Amazon's Audible for copyright infringement,360,https://www.reuters.com/article/us-amazon-com-lawsuit/top-u-s-publishers-sue-amazons-audible-for-copyright-infringement-idUSKCN1VD1ZY,ChickenTeriyakiBoy1,1566764050
1,cdhhl0,Crack open an iPhone and you’ll begin to see why President Donald Trump’s ongoing trade war with China doesn’t make sense,77,https://questbuzz.com/the-guts-of-an-apple-iphone-show-exactly-what-trump-gets-wrong-about-trad/,Hamittyn,1563197388
2,lribjz,Berkeley ends more than 100-year-old single-family zoning policy,87,https://www.ktvu.com/news/berkeley-ends-more-than-100-year-old-single-family-zoning-policy,RoutineProcedure,1614187768
2,hvvzr2,U.S. sales of existing homes jump 20% after a 3-month slump,22,https://www.latimes.com/world-nation/story/2020-07-22/us-sales-of-existing-homes-jump-20-after-a-3-month-slump,WE_FAM_NOW,1595432393
2,ql8dri,Tesla Stock Loses $40 Billion In Market Value After Elon Musk Says Hertz Contract Hasn't Been Signed,1,https://www.forbes.com/sites/jonathanponciano/2021/11/02/tesla-stock-loses-40-billion-in-market-value-after-elon-musk-says-hertz-contract-hasnt-been-signed/,OpinionatedSquid,2021-11-02
2,rbr71w,Volkswagen exploring IPO of luxury carmaker Porsche -sources,279,https://www.reuters.com/markets/europe/volkswagen-exploring-ipo-luxury-carmaker-porsche-sources-2021-12-07/,Pessimist2020,1638969574
2,c5f0z7,"U.S. Tech Companies Sidestep a Trump Ban, to Keep Selling to Huawei",8,https://www.nytimes.com/2019/06/25/technology/huawei-trump-ban-technology.html,pipsdontsqueak,1561495742
1,hg92yk,"1.48 million people filed for first-time unemployment last week, worse than predictions",15,https://www.nbcnews.com/business/economy/1-48-million-people-filed-first-time-unemployment-last-week-n1232090,speckz,1593183363
1,r97c3q,NYC businesses told to pay up after not accepting cash,1,https://nypost.com/2021/12/04/nyc-businesses-told-to-pay-up-after-not-accepting-cash/,HRJafael,2021-12-05
1,oyzoc0,Credit Card Swipe Fees Continue to Threaten Small Businesses. Congress Should Act.,1,https://finance.yahoo.com/news/credit-card-swipe-fees-continue-153000283.html,thinkB4WeSpeak,2021-08-06
1,cxxcj4,GirlsDoPorn.com faces trial for allegedly filming 22 women under false pretenses,628,https://arstechnica.com/?p=1560683,luag,1567268417
1,bvoeas,Donald Trump’s war on cars is pushing the US closer to a recession,36,https://www.theverge.com/2019/6/1/18647215/donald-trump-mexico-tariffs-cars-recession-jobs,dopdecada,1559416600
1,g1rojb,"Best Buy to furlough about 51,000 employees as its stores remain closed to customers",4170,https://www.cnbc.com/2020/04/15/coronavirus-best-buy-to-furlough-about-51000-employees.html,uslvdslv,1586956484
2,pq287d,Build Back Better Act: Details &amp; Analysis of the $3.5 Trillion Budget Reconciliation Bill,1,https://taxfoundation.org/build-back-better-plan-reconciliation-bill-tax/,Dumbass1171,2021-09-17
2,axp2bv,"The federal deficit ballooned at start of new fiscal year, up 77 percent from a year before",3277,https://www.washingtonpost.com/business/economy/the-federal-deficit-ballooned-at-start-of-new-fiscal-year-up-77-percent-from-a-year-before/2019/03/05/ff8d31f6-3f75-11e9-9361-301ffb5bd5e6_story.html,pipsdontsqueak,1551813886
1,kvvpg4,Jobs Recovery Goes Into Reverse as Pandemic Takes a New Toll,2,https://www.nytimes.com/2021/01/08/business/economy/december-2020-jobs-report.html,Mighty_L_LORT,1610471169
2,t0pyew,"SEC probes Elon Musk, brother Kimbal over Tesla share sales - WSJ",1,https://www.reuters.com/business/us-regulator-probes-tesla-after-elon-musks-share-sales-wsj-2022-02-24/,Pessimist2020,2022-02-25
2,b1gihe,A simple macroeconomic model based on Modern Monetary Theory,7,https://econoblog101.wordpress.com/2019/03/04/a-simple-macroeconomic-model-based-on-modern-monetary-theory-and-published-in-2014-in-a-peer-reviewed-journal/,geerussell,1552664975
1,juyicl,US consumer sentiment falls for the first time in 4 months as spiking COVID-19 cases spur worry,20,https://www.businessinsider.com/consumer-sentiment-falls-surging-covid19-cases-concern-economic-recovery-umich-2020-11,hardlyeverawesome,1605492642
2,qfmkka,Empirically grounded technology forecasts and the energy transition,1,https://www.inet.ox.ac.uk/files/energy_transition_paper-INET-working-paper.pdf,LtCmdrData,2021-10-25
1,hkoq6l,White House 'free marketeers' raised concerns over coronavirus price-gouging crackdown,6,https://www.politico.com/news/2020/07/03/white-house-coronavirus-price-gouging-348434,KuduIO,1593802525
2,lswtps,Friedman vs Phillips: A historic divide,13,https://voxeu.org/article/friedman-vs-phillips-historic-divide,LaromTheDestroyer,1614342863
3,lgwjts,"Biden’s claim that with a $15 minimum wage, ‘the whole economy rises’",56,https://www.washingtonpost.com/politics/2021/02/09/bidens-claim-that-with-15-minimum-wage-whole-economy-rises/,jayfreeze7,1612972375
1,q6zlua,When Environmental Regulations Backfire,1,https://www.city-journal.org/when-environmental-regulations-backfire?utm_source=Twitter&amp;utm_medium=Organic_Social,Dumbass1171,2021-10-13
3,qb9z1v,Evergrande will pay its next coupon and China believes the crisis is under control,1,https://digesttime.com/2021/10/18/evergrande-will-pay-its-next-coupon-and-china-believes-the-crisis-is-under-control/,Theauntgate,2021-10-19
3,byeirq,Raytheon and United Technologies are in late-stage talks to merge in an all-stock deal,250,https://www.cnbc.com/2019/06/08/raytheon-and-united-technologies-are-in-talks-to-merge-wsj.html,michapman2,1560040058
3,ct5vsg,Trump Says He’s Exploring ‘Various Tax Reductions’ and the Economic Data He Loves Shows Why,10,https://www.nytimes.com/2019/08/20/us/politics/trump-economy-recession-data.html,pipsdontsqueak,1566333979
2,bb8j8v,Billions in the Ground: The Race to Harvest North Korea's Rare Earth Reserves,10,https://nationalinterest.org/blog/korea-watch/billions-ground-race-harvest-north-koreas-rare-earth-reserves-50137,TapsCoogan,1554819799
