,title,sentiment
0,Jamie Dimon's warning for the U.S. economy — nobody knows what comes next,0
1,Who is Bernard Arnault? Louis Vuitton chief passes Bill Gates as world’s second-richest person,1
2,The Green New Deal Might Be More Popular Than a Carbon Tax,1
3,"China's Economic Slowdown, Explained",0
4,54% of NY restaurants expect to close in six months,1
5,China may be willing to accept an economic downturn to hurt Trump and win a better trade deal,2
6,Republican McConnell says he will probably support Powell's Fed nomination,1
7,India Issues New Tender for Solar Power Equipment Factories - Bloomberg,1
8,'Green hydrogen now cheaper to produce than grey H2 across Europe due to high fossil gas prices',2
9,Aluminium prices hit their highest since 2008,2
10,"How does covid hospitalization cost $20k per person, but it costs delta airlines $50k per person?",1
11,New York Fed Injects $104.15 Billion in Short-Term Liquidity,1
12,"China cuts banks' reserve ratios, frees up $126 billion for loans as economy slows",0
13,"Princeton will limit students on campus to one semester, discount tuition due to COVID-19",1
14,Global Economy Hit by Record Collapse of Business Activity,1
15,Global economic growth forecasts cut again by OECD,0
16,"Consumer Confidence Slips, Driven By Decline In Confidence In Personal Finances",1
17,America’s Upper Middle Class Feeling the Pinch Too,1
18,Renaissance Technologies to pay about $7 bn to settle tax probe,1
19,Andrew Yang: We're undergoing the greatest economic transformation in our history (opinion) - CNN,2
20,"90% of Americans using their personal devices for work, risking their workplace by accidentally opening access to their company data.",0
21,Amazon's first coronavirus case in a US warehouse could complicate shipping,0
22,Kashkari Says U.S. May Face 18 Months of Rolling Shutdowns,1
23,Why Are Prices So High? Blame Supply Chain â€“ And Thatâ€™s The Reason Inflation Is Here To Stay,1
24,Delta variant's surge brings new uncertainty to the economic recovery,2
25,US national debt reaches a record $26 trillion,2
26,"Bruegel: For the climate, Asia-Pacific must phase out fossil-fuel subsidies",1
27,"Central Tel Aviv Street to Double Occupancy With 2,850 New Apartments",1
28,Why the 737 Max should never fly again,1
29,"Iconic U.S. brands Coca-Cola, Pepsi and McDonald's suspend business in Russia",1
30,"Dow drops 500 points after Powell triggers a jump in yields, S&amp;P 500 and Nasdaq go red on year",0
31,Did Hyman Minsky find the secret behind financial crashes?,1
32,Wunderlist founder wants to buy his app back from Microsoft,1
33,Burberry makes an unexpected commitment to environmental sustainability,1
34,Inflation Is Coming for Your Digital Subscriptions,1
35,Questlove Launches Cheesesteak Sandwich Made With Plant-Based Impossible Meat,1
36,How a premature ejaculation drug sparked a $150 million legal battle over trade secrets,0
37,"After Peter Thiel's accusations about Google and China, when asked he said he was only ""asking questions"". Mr. Thiel, are you shorting Google?",1
38,"Trump's Trade War Cost U.S. More Than $3 Billion A Month, Economists Say",1
39,"GM recalls all Chevy Bolts due to fire risk, says owners should park outside and limit charging",1
40,Ease of doing business: India among 20 most improved countries,1
41,Amazon hikes starting pay to $18 an hour,1
42,Here Comes the Trump Slump,1
43,Getting High on Inflation,1
44,Fed Adds $56.72 Billion to Markets for Calm Start to 2020,1
45,Sanders rolls out ‘Bezos Act’ that would tax companies for welfare their employees receive,1
46,"If Lyft can’t keep its drivers as independent contractors, it may never be profitable",1
47,Social Security Benefits Could Be Cut by 2031. Here's What That Means for Retirees,1
48,"Autoworkers vote overwhelmingly for strike at Ford, GM, and Chrysler plants.",0
49,Ray-Ban maker Luxottica accused of anti-union behaviour at U.S. Georgia plant,0
50,AOC’s Anti-Billionaire Crusaders Are Spreading in New York City,1
51,China cuts reserve requirement ratio as economy slows,0
52,What do you think the potential effects of a high market cap to GDP ratio could be?,0
53,Illinois is screwed,1
54,It's Just Good Business: Even Red States Are Dumping Coal for Solar,1
55,Who’s at fault for student-loan defaults?,0
56,Can Amazon And Comcast Really Eat Rokuâ€™s Lunch?,1
57,"Skilled Workers Are Scarce, Posing a Challenge for Biden’s Infrastructure Plan",1
58,Going Big and Fast on Renewables Would Save Trillions in Energy Costs,1
59,The Macroeconomic Implications of Bidenâ€™s $1.9 Trillion Fiscal Package,1
60,Nearly 300 American businesses that received PPP loans have filed for bankruptcy after the money ran out,0
61,Most workers report being equally or more productive when working from home,1
62,The big mystery in the GDP report — where did the inventories come from?,1
