title,sentiment,prediction
The Untapped Potential of Open Financial Data,positive,1
"Government Could Breach Debt Ceiling in September, Mnuchin Warns",negative,1
'Green hydrogen now cheaper to produce than grey H2 across Europe due to high fossil gas prices',positive,1
U.S. telecom regulator circulates Boeing satellite plan for approval,neutral,1
Your delivery orders are making restaurants mad. Now they're fighting back,negative,2
"Americaâ€™s housing market is competitive, unequal, and often just getting by. Just like us.",neutral,1
How Rudolf Diesel's engine changed the world - BBC News,neutral,0
NBA's LA Clippers Get Reported $300M Sponsorship From Aspiration,positive,0
Large Minimum Wage Increases Harm Job Prospects For Young And Less Educated Workers,negative,1
"""We can say the accessible funds to the Taliban are perhaps 0.1-0.2% of Afghanistan's total international reserves. Not much,"" tweeted Ahmady, who also warned of sharp inflation and a depreciation of the national currency...",negative,1
"US added 128,000 jobs in October, vs 75,000 expected",negative,0
China cuts reserve requirement ratio as economy slows,negative,1
"Auto loans hit record high, sending borrowers with the best credit to the used market",positive,1
How AI Is Making the Web More Accessible,neutral,1
"Daddy’s girl: Daughters, managerial decisions, and gender inequality",neutral,1
"Here’s where all the jobs are in the US - in one chart, after April jobs report.",neutral,1
"U.S. personal income falls, following drop in consumer spending",negative,1
Fed Minutes Show Officials Unsure on Need for Rate Hikes in 2019,negative,1
"Myanmar economy losing momentum, IMF warns",negative,1
Funds managing US$2tril urge cement makers to act on climate impact,positive,1
"Trump won’t get sustained ‘boom’ without an infrastructure bill and more tax cuts, new White House report shows",neutral,0
"Another WeWork rival lures cash from investors that include Brookfield, CPPIB",positive,0
"French start-ups to become ‘European champions’, says association chief",positive,1
"Conservatives, how are you going to pay for the $19B a year in reduced government revenue?",negative,1
"Despite Trump’s tariff and border threats, Mexico is now the largest U.S. trading partner",positive,1
Trump’s company could save millions if interest rates fall as he demands,negative,0
"Saudi, Emirati Leaders Decline Calls With Biden During Ukraine Crisis",negative,1
President Biden to sign executive order to ban investment in 59 Chinese defense and tech firms,negative,0
"Dow drops 500 points after Powell triggers a jump in yields, S&amp;P 500 and Nasdaq go red on year",negative,1
World Bank Forecasts Worst Economic Slump In 40 Years ...,negative,0
Yellen: US on track to default on national debt in October - The Hill,neutral,0
"Central Tel Aviv Street to Double Occupancy With 2,850 New Apartments",positive,0
Governmentâ€™s cure for the coronavirus recession is worse for the global economy than the disease,negative,1
"Venezuela’s Collapse Is the Worst Outside of War in Decades, Economists Say",negative,0
"Once a retail shrine, flagship stores lose their shine",negative,1
Amazon Shuts Hubs Near Protests; Target Closes More Stores,negative,0
"China’s Property Market, Once a Lifeline, Now Carries Economic Risks",negative,1
Biden set to ban Russian oil under pressure from Congress,neutral,0
Volatility trades are the toxic subprime mortgages of the Covid Crash,neutral,2
Boeing finds the first buyer for a 737 Max since its grounding,positive,2
Britain's GDP falls 20.4% in April as economy is paralysed by lockdown,negative,0
US National Debt Spiked by $1 trillion in 5 weeks to $26 trillion. Fed monetized 65%. Business debts spike to high heaven.,positive,0
Germany: Worrying developments,neutral,0
Subway supervisors hired 'hitmen' to steal successful stores back from franchisees,negative,2
"After three Chinese banks are bailed out, are more at risk?",neutral,0
Investors Ditched Shares On Monday And Fled To The Safety Of Bonds,negative,1
"Federal Reserve holds interest rates steady, says tapering of bond buying coming 'soon'",positive,1
Wendy's is upgrading its french fries,positive,0
China to wean off US key Technologies by 2025 due to trade war,negative,0
"‘It’s going to be brutal,’ billionaire Mark Cuban says of economy’s recovery from coronavirus, and ‘there’s no way to sugarcoat it’",negative,2
"Decoupling debunked - green growth is incompatible with environmental sustainability, researchers find",negative,1
China gorges on American grain-fed beef amid shrinking supplies from Down Under. Beef imports from the U.S. have grown nine times in the first eight months of 2021. Beef imports from Australia in the first eight months fell to half of what they were in the same period last year,negative,1
China Weighs Unprecedented Penalty for Didi After U.S. IPO,negative,0
American Railroads Are Already in Recession With No End in Sight,negative,1
"List of countries by wealth inequality: US beaten by Sweden, Russia, Netherlands for most unequal.",negative,0
"The pandemic hurt low-wage workers the most—and so far, the recovery has helped them the least",positive,0
New York City Businesses Struggle to Keep Up After Minimum Wage Increase,negative,1
Gen Xers Get Final Shot At $1.01 Million Backdoor IRA Loophole,positive,0
Accounting firm: Trump financial statements aren't reliable,neutral,0
Colorado Restaurant Group Is the Latest to Add Surcharges to Bills to Offset Inflation,positive,0
New York Fed Injects $104.15 Billion in Short-Term Liquidity,neutral,1
Russians liquidating Crypto in UAE in hunt for safe havens | Russia-Ukraine War News,negative,1
The Long Road Ahead: Job Losses in Every Post War Recession,negative,2
U.S. Warns Climate Poses ‘Emerging Threat’ to Financial System,negative,0
"States That Ended Unemployment Benefits Early Saw a $2 Billion Drop in Spending, New Study Says",negative,1
No Slack being cut by Microsoft Teams,neutral,0
"Iceland Must End Fiscal Aid for Economy, Central Bank Chief Says",negative,1
"China cuts banks' reserve ratios, frees up $126 billion for loans as economy slows",negative,1
23 metro areas account for half of the US $19.5 trillion GDP,neutral,1
Chinaâ€™s Consumers Arenâ€™t Spending. A Bad Omen for Other Countries?,negative,0
The Bond Market is Giving Ominous Warnings about The Global Economy,negative,1
Amazon.com defeats IRS appeal in U.S. tax dispute,negative,0
In recent years. Globalization has entered a new phase driven by structural shocks from financial crises to the undermining of representative democracy.,neutral,1
Malaysian worker at large after US$13 million in cash goes missing at South Korean casino .,negative,1
How a premature ejaculation drug sparked a $150 million legal battle over trade secrets,negative,0
"When the U.S. falls into a recession, a credit bubble will explode",negative,0
Activist Funds Take Aim at Asia's Complacent Boardrooms,negative,0
Ken Griffin’s Citadel Securities sells $1.15bn stake to Sequoia and Paradigm,neutral,0
Browder Says Europe May Be Looking at $1 Trillion in Dirty Money,neutral,1
Inequality-and-skin-in-the-game,neutral,1
U.S. lawmakers propose $1 billion fund to replace Huawei equipment,positive,1
"Over 1 Million Britons Do Not Have a Bank Account, Cash Usage Still Very Prevalent",negative,1
QE-Infinity Reverses for Yet Another Week; Fed Getting Cold Feet?,negative,0
Jeff Bezos’ NASA Lawsuit Is So Huge It’s Crashing the DOJ Computer System,negative,0
More Russian Billionaires Speak Out Against Putin’s War On Ukraine,negative,0
US Currency: US removes India from currency monitoring list,negative,0
Bitcoin Demanded As Ransom For Stolen Data: Hackers have started cleaning files on publicly accessible storage devices and leaving Bitcoin ransom note instead of the data.,negative,0
"Private companies added 330,000 jobs in July, according to ADP, far short of the 653,000 estimate",negative,0
Increasing Returns and the New World of Business,positive,2
Wells Fargo Rejected Half Its Black Applicants in Mortgage Refinancing Boom,negative,2
How should we think about talk of an impending US inflationary spiral?,neutral,1
"The Fed has signalled an inflection point: US taper may be steeper, and its first rate rise sooner, than expected",positive,0
"GE freezing pensions for 20,000 employees",negative,0
Alphabet Falls to Lowest in Five Months as DOJ Considers Antitrust Probe,negative,1
Didi to halt Hong Kong listing plans according to Bloomberg News,negative,1
India Zomato: Shares of food delivery app soar 80% on market debut,positive,2
China applies to join key Asia-Pacific trade pact,positive,1
'Bond King' Jeffrey Gundlach says the national debt is 'totally out of control',negative,1
Why America will be the biggest loser in the trade war,neutral,1
Inflation Is Popping From Sydney to San Francisco. It May Be a Good Sign.,positive,0
"India's GDP growth in 2021-22 seen at 8.3%, says World Bank report",positive,1
