title,prediction,sentiment
The Untapped Potential of Open Financial Data,negative,neutral
"Government Could Breach Debt Ceiling in September, Mnuchin Warns",positive,positive
'Green hydrogen now cheaper to produce than grey H2 across Europe due to high fossil gas prices',neutral,neutral
U.S. telecom regulator circulates Boeing satellite plan for approval,negative,negative
Your delivery orders are making restaurants mad. Now they're fighting back,positive,positive
"Americaâ€™s housing market is competitive, unequal, and often just getting by. Just like us.",negative,negative
How Rudolf Diesel's engine changed the world - BBC News,negative,negative
NBA's LA Clippers Get Reported $300M Sponsorship From Aspiration,negative,neutral
Large Minimum Wage Increases Harm Job Prospects For Young And Less Educated Workers,positive,positive
"""We can say the accessible funds to the Taliban are perhaps 0.1-0.2% of Afghanistan's total international reserves. Not much,"" tweeted Ahmady, who also warned of sharp inflation and a depreciation of the national currency...",positive,positive
"US added 128,000 jobs in October, vs 75,000 expected",positive,positive
China cuts reserve requirement ratio as economy slows,positive,positive
"Auto loans hit record high, sending borrowers with the best credit to the used market",neutral,neutral
How AI Is Making the Web More Accessible,negative,negative
"Daddy’s girl: Daughters, managerial decisions, and gender inequality",negative,negative
"Here’s where all the jobs are in the US - in one chart, after April jobs report.",negative,negative
"U.S. personal income falls, following drop in consumer spending",positive,positive
Fed Minutes Show Officials Unsure on Need for Rate Hikes in 2019,positive,positive
"Myanmar economy losing momentum, IMF warns",positive,positive
Funds managing US$2tril urge cement makers to act on climate impact,negative,neutral
"Trump won’t get sustained ‘boom’ without an infrastructure bill and more tax cuts, new White House report shows",negative,negative
"Another WeWork rival lures cash from investors that include Brookfield, CPPIB",negative,neutral
"French start-ups to become ‘European champions’, says association chief",neutral,neutral
"Conservatives, how are you going to pay for the $19B a year in reduced government revenue?",negative,positive
"Despite Trump’s tariff and border threats, Mexico is now the largest U.S. trading partner",neutral,neutral
Trump’s company could save millions if interest rates fall as he demands,positive,positive
"Saudi, Emirati Leaders Decline Calls With Biden During Ukraine Crisis",positive,positive
President Biden to sign executive order to ban investment in 59 Chinese defense and tech firms,positive,positive
"Dow drops 500 points after Powell triggers a jump in yields, S&amp;P 500 and Nasdaq go red on year",positive,positive
World Bank Forecasts Worst Economic Slump In 40 Years ...,positive,positive
Yellen: US on track to default on national debt in October - The Hill,positive,negative
"Central Tel Aviv Street to Double Occupancy With 2,850 New Apartments",neutral,neutral
Governmentâ€™s cure for the coronavirus recession is worse for the global economy than the disease,positive,positive
"Venezuela’s Collapse Is the Worst Outside of War in Decades, Economists Say",positive,positive
"Once a retail shrine, flagship stores lose their shine",positive,positive
Amazon Shuts Hubs Near Protests; Target Closes More Stores,positive,positive
"China’s Property Market, Once a Lifeline, Now Carries Economic Risks",positive,positive
Biden set to ban Russian oil under pressure from Congress,positive,negative
Volatility trades are the toxic subprime mortgages of the Covid Crash,negative,negative
Boeing finds the first buyer for a 737 Max since its grounding,neutral,neutral
Britain's GDP falls 20.4% in April as economy is paralysed by lockdown,positive,positive
US National Debt Spiked by $1 trillion in 5 weeks to $26 trillion. Fed monetized 65%. Business debts spike to high heaven.,neutral,neutral
Germany: Worrying developments,negative,negative
Subway supervisors hired 'hitmen' to steal successful stores back from franchisees,positive,positive
"After three Chinese banks are bailed out, are more at risk?",negative,negative
Investors Ditched Shares On Monday And Fled To The Safety Of Bonds,positive,positive
"Federal Reserve holds interest rates steady, says tapering of bond buying coming 'soon'",neutral,neutral
Wendy's is upgrading its french fries,neutral,neutral
China to wean off US key Technologies by 2025 due to trade war,positive,positive
"‘It’s going to be brutal,’ billionaire Mark Cuban says of economy’s recovery from coronavirus, and ‘there’s no way to sugarcoat it’",positive,positive
"Decoupling debunked - green growth is incompatible with environmental sustainability, researchers find",positive,positive
